"period_ID","zone","period_start_date","moon_phase","sampling_flag_plankton","sampling_flag_eDNA","sampling_flag_eDNA2","sampling_flag_sediment","sampling_flag_sediment2","sampling","n_replicas","sampling_type"
1,"Z2",2025-01-06,"Waxing",TRUE,FALSE,FALSE,FALSE,FALSE,"Plankton",10,"Plankton"
2,"Z2",2025-01-11,"Full",FALSE,FALSE,FALSE,FALSE,FALSE,"No sampling",0,"Plankton"
3,"Z2",2025-01-18,"Waning",FALSE,FALSE,FALSE,FALSE,FALSE,"No sampling",0,"Plankton"
4,"Z2",2025-01-25,"New",FALSE,FALSE,FALSE,FALSE,FALSE,"No sampling",0,"Plankton"
5,"Z2",2025-02-02,"Waxing",TRUE,TRUE,FALSE,FALSE,FALSE,"Plankton",10,"Plankton"
6,"Z2",2025-02-09,"Full",FALSE,FALSE,FALSE,FALSE,FALSE,"No sampling",0,"Plankton"
7,"Z2",2025-02-17,"Waning",FALSE,FALSE,FALSE,FALSE,FALSE,"No sampling",0,"Plankton"
8,"Z2",2025-02-24,"New",FALSE,FALSE,FALSE,FALSE,FALSE,"No sampling",0,"Plankton"
9,"Z2",2025-03-03,"Waxing",TRUE,FALSE,FALSE,FALSE,FALSE,"Plankton",10,"Plankton"
10,"Z2",2025-03-11,"Full",FALSE,FALSE,FALSE,FALSE,FALSE,"No sampling",0,"Plankton"
11,"Z2",2025-03-18,"Waning",FALSE,FALSE,FALSE,FALSE,FALSE,"No sampling",0,"Plankton"
12,"Z2",2025-03-25,"New",FALSE,FALSE,FALSE,FALSE,FALSE,"No sampling",0,"Plankton"
13,"Z2",2025-04-02,"Waxing",TRUE,FALSE,FALSE,FALSE,FALSE,"Plankton",10,"Plankton"
14,"Z2",2025-04-09,"Full",FALSE,FALSE,FALSE,FALSE,FALSE,"No sampling",0,"Plankton"
15,"Z2",2025-04-17,"Waning",FALSE,FALSE,FALSE,FALSE,FALSE,"No sampling",0,"Plankton"
16,"Z2",2025-04-24,"New",FALSE,FALSE,FALSE,FALSE,FALSE,"No sampling",0,"Plankton"
17,"Z2",2025-05-01,"Waxing",TRUE,TRUE,FALSE,TRUE,FALSE,"Plankton",10,"Plankton"
18,"Z2",2025-05-09,"Full",FALSE,FALSE,TRUE,FALSE,TRUE,"No sampling",0,"Plankton"
19,"Z2",2025-05-16,"Waning",FALSE,FALSE,FALSE,FALSE,FALSE,"No sampling",0,"Plankton"
20,"Z2",2025-05-24,"New",FALSE,FALSE,FALSE,FALSE,FALSE,"No sampling",0,"Plankton"
21,"Z2",2025-05-31,"Waxing",TRUE,FALSE,FALSE,FALSE,FALSE,"Plankton",10,"Plankton"
22,"Z2",2025-06-07,"Full",FALSE,FALSE,FALSE,FALSE,FALSE,"No sampling",0,"Plankton"
23,"Z2",2025-06-15,"Waning",FALSE,FALSE,FALSE,FALSE,FALSE,"No sampling",0,"Plankton"
24,"Z2",2025-06-22,"New",FALSE,FALSE,FALSE,FALSE,FALSE,"No sampling",0,"Plankton"
25,"Z2",2025-06-29,"Waxing",TRUE,FALSE,FALSE,FALSE,FALSE,"Plankton",10,"Plankton"
26,"Z2",2025-07-07,"Full",FALSE,FALSE,FALSE,FALSE,FALSE,"No sampling",0,"Plankton"
27,"Z2",2025-07-14,"Waning",FALSE,FALSE,FALSE,FALSE,FALSE,"No sampling",0,"Plankton"
28,"Z2",2025-07-22,"New",FALSE,FALSE,FALSE,FALSE,FALSE,"No sampling",0,"Plankton"
29,"Z2",2025-07-29,"Waxing",TRUE,TRUE,FALSE,FALSE,FALSE,"Plankton",10,"Plankton"
30,"Z2",2025-08-05,"Full",FALSE,FALSE,FALSE,FALSE,FALSE,"No sampling",0,"Plankton"
31,"Z2",2025-08-13,"Waning",FALSE,FALSE,FALSE,FALSE,FALSE,"No sampling",0,"Plankton"
32,"Z2",2025-08-20,"New",FALSE,FALSE,FALSE,FALSE,FALSE,"No sampling",0,"Plankton"
33,"Z2",2025-08-27,"Waxing",TRUE,FALSE,FALSE,FALSE,FALSE,"Plankton",10,"Plankton"
34,"Z2",2025-09-04,"Full",FALSE,FALSE,FALSE,FALSE,FALSE,"No sampling",0,"Plankton"
35,"Z2",2025-09-11,"Waning",FALSE,FALSE,FALSE,FALSE,FALSE,"No sampling",0,"Plankton"
36,"Z2",2025-09-19,"New",FALSE,FALSE,FALSE,FALSE,FALSE,"No sampling",0,"Plankton"
