"week_ID","zone","week_start_date","moon_phase","sampling_flag_plankton","sampling_flag_eDNA","sampling_flag_eDNA2","sampling_flag_sediment","sampling_flag_sediment2","sampling","n_replicas","sampling_calendar"
1,"Z1",2025-01-01,"New",TRUE,FALSE,FALSE,FALSE,FALSE,"Plankton",3,"Plankton"
2,"Z1",2025-01-08,"Waxing",FALSE,FALSE,FALSE,FALSE,FALSE,"No sampling",0,"Plankton"
3,"Z1",2025-01-15,"Full",TRUE,FALSE,FALSE,FALSE,FALSE,"Plankton",3,"Plankton"
4,"Z1",2025-01-22,"Waning",FALSE,FALSE,FALSE,FALSE,FALSE,"No sampling",0,"Plankton"
5,"Z1",2025-01-29,"New",TRUE,TRUE,FALSE,FALSE,FALSE,"Plankton",3,"Plankton"
6,"Z1",2025-02-05,"Waxing",FALSE,FALSE,FALSE,FALSE,FALSE,"No sampling",0,"Plankton"
7,"Z1",2025-02-12,"Full",TRUE,FALSE,FALSE,FALSE,FALSE,"Plankton",3,"Plankton"
8,"Z1",2025-02-19,"Waning",FALSE,FALSE,FALSE,FALSE,FALSE,"No sampling",0,"Plankton"
9,"Z1",2025-02-26,"New",TRUE,FALSE,FALSE,FALSE,FALSE,"Plankton",3,"Plankton"
10,"Z1",2025-03-05,"Waxing",FALSE,FALSE,FALSE,FALSE,FALSE,"No sampling",0,"Plankton"
11,"Z1",2025-03-12,"Full",TRUE,FALSE,FALSE,FALSE,FALSE,"Plankton",3,"Plankton"
12,"Z1",2025-03-19,"Waning",FALSE,FALSE,FALSE,FALSE,FALSE,"No sampling",0,"Plankton"
13,"Z1",2025-03-26,"New",TRUE,FALSE,FALSE,FALSE,FALSE,"Plankton",3,"Plankton"
14,"Z1",2025-04-02,"Waxing",FALSE,FALSE,FALSE,FALSE,FALSE,"No sampling",0,"Plankton"
15,"Z1",2025-04-09,"Full",TRUE,FALSE,FALSE,FALSE,FALSE,"Plankton",3,"Plankton"
16,"Z1",2025-04-16,"Full",FALSE,FALSE,FALSE,FALSE,FALSE,"No sampling",0,"Plankton"
17,"Z1",2025-04-23,"Waning",TRUE,FALSE,FALSE,FALSE,FALSE,"Plankton",3,"Plankton"
18,"Z1",2025-04-30,"New",FALSE,TRUE,TRUE,TRUE,TRUE,"No sampling",0,"Plankton"
19,"Z1",2025-05-07,"Waxing",TRUE,FALSE,FALSE,FALSE,FALSE,"Plankton",3,"Plankton"
20,"Z1",2025-05-14,"Full",FALSE,FALSE,FALSE,FALSE,FALSE,"No sampling",0,"Plankton"
21,"Z1",2025-05-21,"Waning",TRUE,FALSE,FALSE,FALSE,FALSE,"Plankton",3,"Plankton"
22,"Z1",2025-05-28,"New",FALSE,FALSE,FALSE,FALSE,FALSE,"No sampling",0,"Plankton"
23,"Z1",2025-06-04,"Waxing",TRUE,FALSE,FALSE,FALSE,FALSE,"Plankton",3,"Plankton"
24,"Z1",2025-06-11,"Full",FALSE,FALSE,FALSE,FALSE,FALSE,"No sampling",0,"Plankton"
25,"Z1",2025-06-18,"Waning",TRUE,FALSE,FALSE,FALSE,FALSE,"Plankton",3,"Plankton"
26,"Z1",2025-06-25,"New",FALSE,FALSE,FALSE,FALSE,FALSE,"No sampling",0,"Plankton"
27,"Z1",2025-07-02,"Waxing",TRUE,FALSE,FALSE,FALSE,FALSE,"Plankton",3,"Plankton"
28,"Z1",2025-07-09,"Full",FALSE,FALSE,FALSE,FALSE,FALSE,"No sampling",0,"Plankton"
29,"Z1",2025-07-16,"Waning",TRUE,FALSE,FALSE,FALSE,FALSE,"Plankton",3,"Plankton"
30,"Z1",2025-07-23,"New",FALSE,FALSE,FALSE,FALSE,FALSE,"No sampling",0,"Plankton"
31,"Z1",2025-07-30,"Waxing",TRUE,TRUE,FALSE,FALSE,FALSE,"Plankton",3,"Plankton"
32,"Z1",2025-08-06,"Full",FALSE,FALSE,FALSE,FALSE,FALSE,"No sampling",0,"Plankton"
33,"Z1",2025-08-13,"Waning",TRUE,FALSE,FALSE,FALSE,FALSE,"Plankton",3,"Plankton"
34,"Z1",2025-08-20,"New",FALSE,FALSE,FALSE,FALSE,FALSE,"No sampling",0,"Plankton"
35,"Z1",2025-08-27,"Waxing",TRUE,FALSE,FALSE,FALSE,FALSE,"Plankton",3,"Plankton"
36,"Z1",2025-09-03,"Waxing",FALSE,FALSE,FALSE,FALSE,FALSE,"No sampling",0,"Plankton"
37,"Z1",2025-09-10,"Full",TRUE,FALSE,FALSE,FALSE,FALSE,"Plankton",3,"Plankton"
38,"Z1",2025-09-17,"Waning",FALSE,FALSE,FALSE,FALSE,FALSE,"No sampling",0,"Plankton"
39,"Z1",2025-09-24,"New",TRUE,FALSE,FALSE,FALSE,FALSE,"Plankton",3,"Plankton"
40,"Z1",2025-10-01,"Waxing",FALSE,FALSE,FALSE,FALSE,FALSE,"No sampling",0,"Plankton"
41,"Z1",2025-10-08,"Full",TRUE,FALSE,FALSE,FALSE,FALSE,"Plankton",3,"Plankton"
42,"Z1",2025-10-15,"Waning",FALSE,FALSE,FALSE,FALSE,FALSE,"No sampling",0,"Plankton"
43,"Z1",2025-10-22,"New",TRUE,FALSE,FALSE,FALSE,FALSE,"Plankton",3,"Plankton"
44,"Z1",2025-10-29,"Waxing",FALSE,TRUE,FALSE,TRUE,FALSE,"No sampling",0,"Plankton"
45,"Z1",2025-11-05,"Full",TRUE,FALSE,FALSE,FALSE,FALSE,"Plankton",3,"Plankton"
46,"Z1",2025-11-12,"Waning",FALSE,FALSE,FALSE,FALSE,FALSE,"No sampling",0,"Plankton"
47,"Z1",2025-11-19,"New",TRUE,FALSE,FALSE,FALSE,FALSE,"Plankton",3,"Plankton"
48,"Z1",2025-11-26,"Waxing",FALSE,FALSE,FALSE,FALSE,FALSE,"No sampling",0,"Plankton"
49,"Z1",2025-12-03,"Full",TRUE,FALSE,FALSE,FALSE,FALSE,"Plankton",3,"Plankton"
50,"Z1",2025-12-10,"Waning",FALSE,FALSE,FALSE,FALSE,FALSE,"No sampling",0,"Plankton"
51,"Z1",2025-12-17,"New",TRUE,FALSE,FALSE,FALSE,FALSE,"Plankton",3,"Plankton"
52,"Z1",2025-12-24,"Waxing",FALSE,FALSE,FALSE,FALSE,FALSE,"No sampling",0,"Plankton"
53,"Z1",2025-12-31,"Full",TRUE,FALSE,FALSE,FALSE,FALSE,"Plankton",3,"Plankton"
