"zone","Latitude","Longitude","zone_selection_plankton","zone_selection_eDNA","zone_selection_eDNA2","zone_selection_sediment","zone_selection_sediment2","Comments"
"Z2",32.3830057968148,-64.7238922119141,TRUE,TRUE,FALSE,TRUE,FALSE,"All uses area (A9)"
"Z3",32.4675049,-64.5808043,TRUE,TRUE,FALSE,TRUE,FALSE,"Eastern Grouper Box (A12). Proposed Fully Protected."
"Z4.1",32.313685594591,-64.6321392059326,TRUE,TRUE,FALSE,FALSE,FALSE,"Offshore, top 20 m "
"Z4.2",32.3138306713709,-64.636344909668,FALSE,TRUE,FALSE,FALSE,FALSE,"Offshore, 75 m"
"Z4.3",32.3149912772456,-64.6408081054688,FALSE,TRUE,FALSE,FALSE,FALSE,"Offshore, 150 m "
"Z5",32.4796461941074,-64.7632884979248,FALSE,TRUE,FALSE,TRUE,FALSE,"North Rock (A8). Proposed Fully Protected."
"Other zones",32.407112849451,-64.7009727000163,NA,NA,TRUE,NA,TRUE,""
"WTF",32.3265965180609,-64.7877502441406,TRUE,TRUE,FALSE,FALSE,FALSE,NA
"New_Z10",32.264491,-64.849205,TRUE,FALSE,TRUE,TRUE,FALSE,NA
"New_Z11",32.28452,-64.929886,TRUE,FALSE,FALSE,FALSE,FALSE,NA
