zone,Latitude,Longitude,zone_selection_plankton,zone_selection_eDNA,zone_selection_eDNA2,zone_selection_sediment,zone_selection_sediment2,Comments
Z1,32.3708278515381,-64.7982215881348,TRUE,TRUE,FALSE,TRUE,FALSE,North Lagoon (A7). Proposed Fully Protected.
Z2,32.3830057968148,-64.7238922119141,TRUE,TRUE,FALSE,TRUE,FALSE,All uses area (A9)
Z3,32.4675049,-64.5808043,TRUE,TRUE,FALSE,TRUE,FALSE,Eastern Grouper Box (A12). Proposed Fully Protected.
Z4.1,32.313685594591,-64.6321392059326,TRUE,TRUE,FALSE,FALSE,FALSE,"Offshore, top 20 m "
Z4.2,32.3138306713709,-64.636344909668,FALSE,TRUE,FALSE,FALSE,FALSE,"Offshore, 75 m"
Z4.3,32.3149912772456,-64.6408081054688,FALSE,TRUE,FALSE,FALSE,FALSE,"Offshore, 150 m "
Z5,32.4796461941074,-64.7632884979248,FALSE,TRUE,FALSE,TRUE,FALSE,North Rock (A8). Proposed Fully Protected.
Z6,32.349222,-64.696426,FALSE,FALSE,TRUE,FALSE,TRUE,NA
Z7,32.3473009246074,-64.6593475341797,FALSE,FALSE,TRUE,FALSE,TRUE,Castle Harbour Islands and Reefs (A10). Nat. Park and Proposed Fully Protected.
Z8,32.320214,-64.698486,FALSE,FALSE,TRUE,FALSE,TRUE,NA
Z9,32.354443,-64.650421,FALSE,FALSE,TRUE,FALSE,TRUE,NA
Z10,32.376047,-64.676857,FALSE,FALSE,TRUE,FALSE,TRUE,NA
Z11,32.3914496582527,-64.6776723861694,FALSE,FALSE,TRUE,FALSE,TRUE,Coot Pond Area (A9). Proposed Fully Protected.
Z12,32.438511,-64.636688,FALSE,FALSE,TRUE,FALSE,TRUE,NA
Z13,32.4631362841281,-64.6705055236817,FALSE,FALSE,TRUE,FALSE,TRUE,North East Breaker (A11). Proposed Fully Protected.
Z14,32.432136,-64.782944,FALSE,FALSE,TRUE,FALSE,TRUE,NA
Z15,32.334139,-64.773331,FALSE,FALSE,TRUE,FALSE,TRUE,NA
Z16,32.344002,-64.845428,FALSE,FALSE,TRUE,FALSE,TRUE,NA
Z17,32.3054158340808,-64.8782157897949,FALSE,FALSE,TRUE,FALSE,TRUE,Daniel's Head (A3)
Z18,32.2595557539701,-64.9858474731445,FALSE,FALSE,TRUE,FALSE,TRUE,Western Grouper Box (A1). Proposed Fully Protected.
Z19,32.2936627707521,-64.9640464782715,FALSE,FALSE,TRUE,FALSE,TRUE,Chub Heads (A2). Proposed Fully Protected.
Z20,32.301643,-64.834442,FALSE,FALSE,TRUE,FALSE,TRUE,NA
Z21,32.277264,-64.850235,FALSE,FALSE,TRUE,FALSE,TRUE,NA
Z22,32.2469256489774,-64.8088645935059,FALSE,FALSE,TRUE,FALSE,TRUE,South Shore Reefs (A5). Proposed Fully Protected.
Z23,32.264491,-64.777451,FALSE,FALSE,TRUE,FALSE,TRUE,NA
Z24,32.329498,-64.721489,FALSE,FALSE,TRUE,FALSE,TRUE,NA
Z25,32.3903987485499,-64.878044128418,FALSE,FALSE,TRUE,FALSE,TRUE,Eastern Blue Cut (A4). Proposed Fully Protected.
